railway_station_code,railway_station_name,railway_latitude,railway_longitude,ghcnh_station_id,ghcnh_station_name,ghcnh_latitude,ghcnh_longitude,distance_km
AMQ,Ammuguda,17.487039,78.527215,43128099999,BEGUMPET AIRPORT / HYDERABAD INTL,17.452,78.461,8.03
AMRO,Amroha,28.892688,78.474329,42187099999,MORADABAD,28.833,78.75,27.65
AMSA,Ammasandra,13.264571,76.71148570000001,43263099999,HASSAN,12.967,76.333,52.68
AN,Amalner,21.049008999999998,75.057314,42851099999,JALGAON,21.05,75.567,52.89
ANA,Aslana,23.860522,79.319493,42674099999,DAMOH,23.833,79.45,13.62
ANAS,Anas,22.866009,74.421513,42661099999,RATLAM,23.317,75.05,81.53
ANB,Ammanabrolu,15.596402,80.148353,43221099999,ONGOLE,15.5,80.083,12.8
ANCR,Anchuri,23.283904,86.993174,42706099999,BANKURA,23.383,87.083,14.34
AND,Andampaliam,12.088426380000001,79.16898527,43331099999,M.O. PONDICHERRY,11.967,79.817,71.76
ANDI,Adarsh Nagar Delhi,28.714205,77.16670699999999,42182099999,SAFDARJUNG,28.585,77.206,14.87
ANDN,Anand Nagar,27.103714,83.270698,42379099999,GORAKHPUR,26.74,83.45,44.18
ANE,Anantarajupet,13.999592,79.30246799999999,43275099999,TIRUPATHI,13.667,79.583,47.8
ANF,Anandapuram,14.073324,75.209164,43258099999,SHIVAMOGGA,13.858,75.62,50.38
ANG,Ahmadnagar,19.075519477700002,74.721882467,43009099999,AHMADNAGAR,19.083,74.8,8.25
ANGL,Angul,20.859445,85.099994,42969099999,ANGUL,20.833,85.1,2.94
ANGR,Angadgeri Halt,16.451873659999997,75.84589116000001,43161099999,BIJAPUR,16.817,75.717,42.86
ANI,Ajanti,21.893954,76.285956,42855099999,KHANDWA,21.833,76.367,10.77
ANK,Ankai,20.1510279143,74.4697560736,42925099999,MALEGAON,20.55,74.533,44.85
ANKL,Ankola,14.645347,74.332936,43225099999,KARWAR,14.783,74.133,26.39
