station_code,station_name,latitude,longitude,state,zone,has_coordinates
BIRP,Birarajpur,22.8235001,86.06450201000001,,,True
BIS,Biswa Bridge,20.885157149999998,76.33919345,,,True
BIWK,Bisalwas Kalan,24.500035299999997,74.78308399999999,Rajasthan,WR,True
BIX,Bhind,26.588904900000003,78.77743530000001,Madhya Pradesh,NCR,True
BIY,Bardoli,21.1342405,73.1058944,,,True
BJ,Bahjoi,28.401499599999998,78.6315064,Uttar Pradesh,NR,True
BJD,Barejadi,22.895426699999998,72.6778863,,,True
BJE,Bhojudih,23.642174999999998,86.4469993,Jharkhand,SER,True
BJF,Bijni,26.497967,90.70782700000001,,,True
BJG,Bajrangarh,23.042607,74.69499300000001,,,True
BJIH,Bijuli Halt,26.186676,85.976126,,,True
BJKN,Bajekan,29.524297999999998,75.099097,,,True
BJM,Bhagavathipuram,,,,,False
BJMD,Bara Jamda,22.1665327,85.41239200000001,Jharkhand,SER,True
BJNR,Bijainagar,25.931003,74.65305889999999,Rajasthan,NWR,True
BJO,Bijnor,29.3856298,78.14680469999999,Uttar Pradesh,NR,True
BJP,Vijayapura,16.8310603,75.7400012,Karnataka,SWR,True
BJR,Barrajpur,26.685165899999998,80.13867760000001,,,True
BJRA,Bhajera,27.100774588100002,76.6568744922,,,True
BJRI,Bijuri,23.250338600000003,82.1189461,Madhya Pradesh,SECR,True
BJU,Barauni,25.461768000000003,85.988748,,,True
BJW,Bajva,22.3662226,73.1431251,,,True
BJWS,Bojawas,28.312786,76.25286799999999,Haryana,NWR,True
BKC,Bhikamkor,26.80763,72.78720299999999,Rajasthan,NWR,True
