segment,mean,median,std,count
REI->HDU,23.875,20.0,15.195942440884233,16
BNW->ROK,2.6875,0.0,6.279264818963019,16
JP->MKN,18.4375,0.0,41.146840704967865,16
HPHI->KTY,24.125,8.0,28.436771968702775,16
KWP->GTJT,11.8125,2.5,14.446308640387459,16
VDD->KQA,32.5,34.0,11.436782764396638,16
PRLI->UKH,0.0,0.0,0.0,16
KGS->TGQ,45.0,18.5,108.8246295651862,16
CAA->MFP,40.5,0.0,82.69461893013353,16
CH->BRY,22.25,0.0,51.90054591877302,16
PNPL->JSG,32.3125,0.0,48.082871170511446,16
KQA->NLR,18.875,19.0,11.002272492535349,16
KTY->HBI,27.1875,17.0,28.79633946644376,16
NOI->SGO,28.0,24.0,16.990193249832878,16
MXW->DRWN,0.0,0.0,0.0,16
BQQ->REI,23.4375,18.5,16.419373719278497,16
SPP->BJU,95.5625,0.0,161.32491799677652,16
JSGR->SBP,113.9375,0.0,203.8671033622966,16
BSKO->JHIR,6.6875,0.0,10.958824450338335,16
KRA->GHPU,9.875,0.0,28.605069480775605,16
BST->AY,0.0,0.0,0.0,16
GHAA->MOU,63.125,48.5,69.96272817245861,16
SNGR->PBN,45.75,25.0,64.90249096400949,16
TUX->GOL,61.8125,47.5,70.28723805452404,16
BWC->FSW,0.0,0.0,0.0,16
SDLP->HR,21.0625,32.5,19.55664848587303,16
SDL->CHDX,3.3125,0.0,7.595777335686805,16
KDJR->BSPX,34.875,13.5,41.68113082279158,16
ISH->NOI,23.5,21.0,14.08071967857704,16
HGR->RIG,65.0625,75.5,57.580631871026455,16
ND->CYI,15.8125,15.0,14.63884672142356,16
JW->BSKO,0.0,0.0,0.0,16
RPH->DKAE,178.5,56.0,247.82063406154595,16
DGW->RHG,5.5625,3.0,7.136467380060435,16
SGNR->BWC,5.5,5.0,3.5402448126271344,16
JHL->HSR,20.75,0.0,39.19778905329568,16
JHIR->BAI,7.75,0.0,11.030261405182864,16
BUGL->DPK,4.6875,3.0,5.224541447183028,16
BRKA->TORI,63.375,24.5,91.7146843931403,16
TLI->ENB,3.5,2.0,5.253570214625479,16
BYNR->UD,52.4375,36.5,62.2885422850784,16
KSV->NDLS,59.8125,15.5,100.25315871997915,16
AMM->MTT,0.0,0.0,0.0,16
SRRG->BU,4.0625,0.0,6.647994685116207,16
BDSW->BUGL,0.0,0.0,0.0,16
GZB->CNB,23.5,11.5,29.91097903223274,16
MMR->PUNE,5.8125,0.0,8.642675125985782,16
MMR->KYN,90.125,0.0,147.9075724903901,16
ARJ->KDQ,11.0,0.0,24.492175621342152,16
AWR->MWW,3.875,2.5,4.602535533087533,16
AWR->RAH,1.4,0.0,3.0425553170226594,15
UMH->DK,7.8,6.0,7.408489338975544,15
BE->STP,321.4,297.0,289.4866885664052,15
ARK->KRPU,42.4,0.0,75.52369543016663,15
NBQ->FKM,2.1333333333333333,0.0,4.172472146045293,15
JNU->MAY,11.4,0.0,15.860102683868636,15
BSR->DRD,22.8,0.0,38.63603055624189,15
BGP->SBG,56.266666666666666,0.0,176.21718201723476,15
SGBJ->TLV,14.866666666666667,0.0,27.134234219278543,15
JHD->KRON,0.0,0.0,0.0,15
KNW->BRGJ,4.266666666666667,0.0,7.896352382738561,15
NAB->BPQ,100.73333333333333,10.0,191.8148164494177,15
BPL->SJP,29.266666666666666,0.0,113.34931259900375,15
KCT->DHE,44.06666666666667,0.0,90.43661289754803,15
SJP->BPL,75.53333333333333,6.0,261.9386151281214,15
MESR->HUDU,0.0,0.0,0.0,15
PFT->JTDM,33.333333333333336,19.0,30.158312444893358,15
PNUG->RSMN,0.0,0.0,0.0,15
KPV->RMR,0.0,0.0,0.0,15
FGR->KJN,11.2,9.0,10.469001862641921,15
BGU->GRH,24.066666666666666,16.0,26.900522211252614,15
MDCR->NDW,31.733333333333334,22.0,23.097515842515143,15
RV->NB,9.2,0.0,34.81009705736049,15
MTA->KNW,3.3333333333333335,0.0,7.0777989583795105,15
MBDP->RBL,74.4,0.0,107.95223811614892,15
CAER->CKKD,29.333333333333332,0.0,42.31626952682227,15
HUDU->JJTI,0.0,0.0,0.0,15
UMB->DDL,146.8,93.0,225.49032288390052,15
BRUD->CAER,29.6,0.0,42.34011944108937,15
NB->SAV,8.666666666666666,0.0,33.56585566713095,15
NDU->TNRI,0.0,0.0,0.0,15
NDW->NEMA,0.0,0.0,0.0,15
KWAE->KGLE,17.333333333333332,5.0,24.37992929401052,15
KWE->AZR,11.333333333333334,2.0,13.885586909076757,15
LAV->KWE,9.8,2.0,12.818513397203505,15
OREH->NYM,0.0,0.0,0.0,15
NERH->WKND,0.0,0.0,0.0,15
NFK->AZ,7.133333333333334,0.0,24.26304263886205,15
TUWA->VKG,10.4,9.0,8.475173828811503,15
POA->RAL,4.466666666666667,0.0,7.189940062005948,15
BAJ->OD,3.533333333333333,2.0,4.867775477077604,15
NYM->BELA,7.266666666666667,2.0,12.875595224336324,15
BEHR->JOBA,47.06666666666667,43.0,18.84700304582996,15
HD->PAL,23.8,0.0,34.14925224029698,15
RMD->MNM,18.666666666666668,11.0,34.81515816559273,15
CRK->HD,22.733333333333334,0.0,32.35399438061632,15
PGL->TBN,19.533333333333335,0.0,27.69700000945607,15
SID->MSH,26.266666666666666,14.0,28.571880948799667,15
VST->MFQ,20.666666666666668,20.0,10.251596855867776,15
MDGR->BJRI,6.066666666666666,4.0,9.93886071846026,15
SBP->JSGR,71.33333333333333,18.0,149.45217422624665,15
BBHT->NERH,0.0,0.0,0.0,15
DOE->SHR,13.8,12.0,5.5703295619354005,15
VMU->BQU,0.0,0.0,0.0,15
SVL->TBA,10.333333333333334,10.0,8.78852065128684,15
NZP->IAM,0.0,0.0,0.0,15
MWJ->JOBA,14.933333333333334,16.0,8.23291882511618,15
MWJ->NWB,44.666666666666664,42.0,23.45410919423797,15
TDL->AGC,19.866666666666667,0.0,42.07283933280246,15
CKH->OREH,0.0,0.0,0.0,15
BRGW->GAJB,12.533333333333333,13.0,5.026595932305149,15
BH->VS,33.8,0.0,76.86184266033999,15
VZM->KUR,26.866666666666667,0.0,71.14559183881487,15
SHR->DOE,23.133333333333333,23.0,12.517796854688054,15
JTDM->PPN,30.866666666666667,19.0,24.813206928876365,15
TBA->TUWA,7.333333333333333,6.0,8.532849688675162,15
TBN->CRK,19.666666666666668,0.0,27.881552187440217,15
SDAH->BP,2.2,2.0,2.908116719999879,15
BQU->POA,0.0,0.0,0.0,15
SONH->NDU,30.666666666666668,22.0,22.477501979492633,15
RJO->GHX,0.3333333333333333,0.0,1.2909944487358056,15
KAWR->BTJL,118.93333333333334,122.0,110.59092359209404,15
BRI->KKN,24.666666666666668,0.0,35.025840800893334,15
GRH->RXL,12.2,3.0,21.15655926657263,15
DDU->PPTA,18.6,5.0,39.938881878619064,15
JJTI->SANI,5.866666666666666,0.0,19.41599733160654,15
BAU->WGA,8.533333333333333,0.0,33.04945788763662,15
GAJB->SGAM,8.466666666666667,7.0,6.674756995755048,15
NWB->MWJ,15.333333333333334,18.0,7.393691004272945,15
NWB->SGAM,37.93333333333333,42.0,27.60555499653406,15
PAL->BRI,23.066666666666666,0.0,33.34552158122301,15
RSMN->PRBZ,32.0,18.0,29.391446763593365,15
ALUR->SKLR,8.6,6.0,7.018343312858303,15
GHX->NBJU,4.6,2.0,5.220837371259792,15
BHET->BL,1.7333333333333334,0.0,4.636295729916081,15
BHET->NDB,6.8,0.0,19.82855084395803,15
BSBS->BOY,17.866666666666667,4.0,38.48165920588787,15
SCKR->JHT,0.0,0.0,0.0,15
KHBJ->MFQ,34.666666666666664,34.0,11.405929953109396,15
NEMA->PFT,32.8,23.0,25.29031435154573,15
SUP->ARK,10.6,0.0,19.470857344099816,15
SNA->BAJ,0.0,0.0,0.0,15
DWZ->BCHL,0.0,0.0,0.0,15
BTD->JVN,0.0,0.0,0.0,15
BPF->PGL,16.0,17.0,17.960273621841857,15
OD->UMH,2.933333333333333,0.0,5.188815811320491,15
SHG->CPR,345.2,258.0,242.27617063413987,15
SVGA->KKDI,11.666666666666666,4.0,32.36988606420363,15
TEA->MDCR,0.0,0.0,0.0,15
ANND->SNA,0.0,0.0,0.0,15
PPN->PNUG,0.0,0.0,0.0,15
CKKD->SGBJ,13.666666666666666,0.0,25.866875305982326,15
CKMI->TEA,29.666666666666668,23.0,21.439838307848,15
ADI->DHG,5.4,0.0,13.431306712304654,15
WKND->MDE,6.4,0.0,12.004760960314275,15
CIV->VMU,30.866666666666667,46.0,30.516662115419287,15
KKN->DRHI,25.2,0.0,35.65148764678091,15
TORI->BRKA,0.0,0.0,0.0,15
GAYA->CKH,6.933333333333334,0.0,12.589489191195888,15
DGN->SXA,1.8666666666666667,0.0,3.9436507137905803,15
DGR->KOAA,4.8,0.0,12.382014606447761,15
MFQ->VST,39.2,37.0,12.242782130125256,15
RAH->GVH,1.1333333333333333,0.0,2.7481595573002946,15
THA->MBAH,0.0,0.0,0.0,15
KIC->ASD,7.266666666666667,7.0,8.258905727124134,15
SUD->TETA,26.333333333333332,33.0,28.356573102108758,15
ET->DRA,10.066666666666666,10.0,8.198141485088179,15
